NIM,Nama Mahasiswa,Jenis Kelamin,Tanggal Lahir,Alamat,Program Studi,Tahun Masuk
NIM00001,Mahasiswa_1,Laki-Laki,1/12/2002 0:00,Surabaya,Manajemen,2023
NIM00002,Mahasiswa_2,Perempuan,4/29/1997 0:00,Medan,Manajemen,2020
NIM00003,Mahasiswa_3,Laki-Laki,10/17/2002 0:00,Bandung,Teknik Informatika,2018
NIM00004,Mahasiswa_4,Laki-Laki,12/4/1999 0:00,Yogyakarta,Hukum,2023
NIM00005,Mahasiswa_5,Laki-Laki,9/5/1995 0:00,Medan,Teknik Informatika,2018
NIM00006,Mahasiswa_6,Perempuan,12/20/2001 0:00,Yogyakarta,Manajemen,2017
NIM00007,Mahasiswa_7,Laki-Laki,5/7/1999 0:00,Bandung,Manajemen,2023
NIM00008,Mahasiswa_8,Laki-Laki,3/15/2000 0:00,Medan,Hukum,2021
NIM00009,Mahasiswa_9,Laki-Laki,12/26/2000 0:00,Bandung,Kedokteran,2022
NIM00010,Mahasiswa_10,Perempuan,7/23/2002 0:00,Jakarta,Kedokteran,2022
NIM00011,Mahasiswa_11,Laki-Laki,2/18/2003 0:00,Bandung,Hukum,2017
NIM00012,Mahasiswa_12,Laki-Laki,3/19/1996 0:00,Yogyakarta,Hukum,2020
NIM00013,Mahasiswa_13,Laki-Laki,8/29/2003 0:00,Surabaya,Teknik Informatika,2019
NIM00014,Mahasiswa_14,Laki-Laki,12/14/2004 0:00,Bandung,Hukum,2019
NIM00015,Mahasiswa_15,Perempuan,6/3/2003 0:00,Surabaya,Kedokteran,2021
NIM00016,Mahasiswa_16,Laki-Laki,9/30/2004 0:00,Jakarta,Hukum,2017
NIM00017,Mahasiswa_17,Perempuan,4/5/2004 0:00,Medan,Teknik Informatika,2017
NIM00018,Mahasiswa_18,Perempuan,8/2/2001 0:00,Medan,Teknik Informatika,2020
NIM00019,Mahasiswa_19,Perempuan,10/21/1995 0:00,Surabaya,Teknik Informatika,2023
NIM00020,Mahasiswa_20,Laki-Laki,7/28/2001 0:00,Medan,Teknik Informatika,2019
NIM00021,Mahasiswa_21,Perempuan,12/8/2004 0:00,Bandung,Akuntansi,2023
